Gene	Symbol	C1-1 NTR	C1-2 NTR	C2-1 NTR	C2-2 NTR	C3-1 NTR	C3-2 NTR	C4-1 NTR	C4-2 NTR	O1-1 NTR	O1-2 NTR	O2-1 NTR	O2-2 NTR	O3-1 NTR	O3-2 NTR	O4-1 NTR	O4-2 NTR	O5-1 NTR	O5-2 NTR	O6-1 NTR	O6-2 NTR
ENSG00000204518	AADACL4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
ENSG00000157330	CFAP107	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000070886	EPHA8	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN
ENSG00000173372	C1QA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN
ENSG00000159189	C1QC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000173369	C1QB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000142920	AZIN2	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0.5193	0	0	0.1665	0.3921	0	0	NaN	NaN	0	NaN	NaN
ENSG00000160094	ZNF362	NaN	NaN	NaN	0.6873	NaN	NaN	NaN	NaN	0.6853	0.7394	0.7395	0.699	0.6958	0.6363	0	NaN	0	0	NaN	NaN
ENSG00000121903	ZSCAN20	1	0.312	0	0.2132	0	0.3376	0.5657	0.6273	0.9448	0.8737	0.9922	0.8773	0.9882	0.8377	0.8913	0.7713	1	0.8093	1	0.7424
ENSG00000159339	PADI4	0	NaN	NaN	0.59	NaN	NaN	NaN	0	0.2155	0.1778	0.4135	0.2207	0.2627	0.1493	0	NaN	NaN	NaN	NaN	0
